ca,symbol,dev,dev_eth,buyer,buyer_eth,bundle_eth,bundler_wallet,,,,,,,,,,,,,
0x3aebc97fa52165e129e91e731f911e8499729583,DOGGO,0xd5d58c945558420b29f217312bf90ab9be183db4,1.3305,0xd5d58c945558420b29f217312bf90ab9be183db4,1.3305,34.9142,0xa0a5a081be366a949cf1420694a8667fbff5d7f3,,,,,,,,,,,,,
0xcd9e5ff8663fea1459fa400be83faca96a3e6b4f,DOGGO,0xb71c94374513a300a5836abecbf74f5985161cbd,2.2305,0xb71c94374513a300a5836abecbf74f5985161cbd,2.2305,23.3803,0xa04dc228ff25879c1f3183f251481225f0694f24,,,,,,,,,,,,,
0x951fee281141e06b34f0eb7e3753209fe746def5,HENT,0xab19742e2333cee0914ba1b8e3444b1a0ff8740b,0.113881015,0xab19742e2333cee0914ba1b8e3444b1a0ff8740b,0.1138810145,74.2102,0xd6ebb4a733766eadcf086062a4ab099eb11c1690,,,,,,,,,,,,,
0xd0409c8304a3e5045693be77445d77731a0444e5,GALAXY,0xbb7fe49bb34a33bd712f86db8508e8a4e8984d32,0.081980174,0xfc3e360c43dc4b6a36beaeeb6fe2bd445aa4b073,0.09901104862,79.65,0x4d1b855355ddd6f9bc59d40fdbd8d2992d7b25df,,,,,,,,,,,,,
0xb89c01ee8ed9e81817437d3371ff31eb338e6819,MARIO,0xb7561e41b440aa8fd2bebe945242a3ce8e5a72fa,0.035026134,0xb7561e41b440aa8fd2bebe945242a3ce8e5a72fa,0.03502613419,65.4616,0x4dc5b1834d20b3cf342ec1ccddc8de280642a50d,,,,,,,,,,,,,
0x098fd14666fcbfedea692df80f8589c671672381,GAY,0xacb82a5656a316c735fb07d70f8344af6a497248,0.12508805,0xc3387083b9ad00d074a8f3b31f07998d25adc88d,0.2109210384,12.8076,0x1233850218270330803c2ecdef65956bffe56db6,,,,,,,,,,,,,
0x5d305c88989126b751794c70004d7fe9d9c3a3d6,Astra Agentics,0xb3a092df2f284171b42f1cdf8395ad051201548d,1.8005,0xb3a092df2f284171b42f1cdf8395ad051201548d,1.8005,22.8544,0x40581602613b1f5579b026264fbf9578f1c517ff,,,,,,,,,,,,,
0x29bab7c0f8a5e551b259d102941094b47509020d,HOODERS,0x1ba693ac38e4844081482ced4dce65c2199f90a8,0.090795223,0x2459e6657b07f59cb0efa3a973dc67cfb92c881f,0.1443224332,62.3253,0x88ae707dffa82884fbe1c78e88fa8d52e6561294,,,,,,,,,,,,,
0x29bab7c0f8a5e551b259d102941094b47509020d,HOODERS,0x610399aef38222ba562eb05ee6824277a6a70599,3.5505,0x610399aef38222ba562eb05ee6824277a6a70599,3.5505,50.8819,0x6b4fa79d10551eb39ec3afb9d562590213a2e064,,,,,,,,,,,,,
0xaee120c50a0a212b071d71483aea4b4a8e9179f3,Jacob,0x5f0e5a78e9d61253b7b94b7fbac7f836fc3567f9,0.074130607,0x5c60691029fec8ea6e3c3328da8ace953f43ed4b,0.2280429814,95.0168,0xbebfbce5b1a731ffb140d8297b8ced32ca59ed3f,,,,,,,,,,,,,
0x5d975754d9fc6a08b0d838adc85d8451e53cf1a4,astro,0xe2d26c21956ba987ef3956da32e2c868fc8a0746,0.070649229,0xbfcfd001729dc98f0ed9c6333ea93b75c3b91cc9,0.2001875616,106.9684,0xb4b06bc63b39d11b2081a3db87e77daec2fabb75,,,,,,,,,,,,,
0xa6ff42d2dc92e3e4a00ee25d06f17fbae27e892f,ELIZABAO,0x5ade44f1bfe8d0e60ed20b560f8b45018e8d8fa1,3.8005,0x5ade44f1bfe8d0e60ed20b560f8b45018e8d8fa1,3.8005,25.0172,0xce57240b70e8b54172da55648b6100efa2eaa7a8,,,,,,,,,,,,,
0x01307ea7bb7cbecc9b72b8ae8e3b2984e552d01b,SGD,0x43b65d268a33d1e4b95ff8b7e7aab22d7f82985e,3.8005,0x43b65d268a33d1e4b95ff8b7e7aab22d7f82985e,3.8005,63.9188,0xf6b4dfae5921ca759986eeab6b04f25f63476ed3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ath,dump chart,time live,funded funder time,funds,,,,
0xd0409c8304a3e5045693be77445d77731a0444e5,GALAXY,-,https://grokbotgalaxy.space/,,-,https://x.com/GrokBotGalaxy,,need live observation,,yes,,481k,1h5m,09/11 13:16:23,09-11 5:28:09,0.1|20|20,,,,
0xdd5ce3ee4afd7f85ffb0b05e6dccb87be268071c,Song Jiang,-,-,,-,-,,need live observation,,yes,,455k,45m30s,09/13 15:25:38,09-13 15:10:46,0.25|19.75,,,,
