ca,symbol,name,launchpad,dev_wallet,funder,funder_label,fund_amount,funded_at,value_eth,gwei,max_gwei,priority_gwei,nonce,template,method,proxy_impl,proxy_kind,best_match,best_match_pct,candidate_team
0x7190Cb95dead29359eB9050f03Ce6bffBf2915c0,gigalon,gigalon,,0x62bc92B09cb1E825c13236BB44933F8F578E020d,0x12047dA80A6d4597385e5854Cb0Db05A58F1D766,Fresh Wallet,1.456315299222815053,2026-09-13T14:23:35.000Z,0,0.082664,0.163896,0,0,a3fcce81ca12de34d2968c48ffd3fb71e83788e59c5ff049fe2a13944f597596,ca20cf82,,,CATURN,86,team gigalon
0xE331eEdb3Bc25830e61b0b4835eB110cFb6288C8,INTEL,Intelena,,0xD3b1a221b44B1684F3180c65073E48f34b7E1295,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,Fresh Wallet,1.710748879339665347,2026-09-13T14:17:25.000Z,0,0.100464,0.1359,0.01571,0,a78b5f805b8a06dd7770e6d6a4d338563e17b2218f84fa6c3d98c1a640e6ae6b,815842cf,,,CPRINT,100,team INTEL
0xF06e9aE646AD8577fecaeC761ad224865603679A,UNITYPAD,UnityPad,,0x5a4489C162A755bdE0BE66C5a325bc4101ac8b4E,0x88D25C861938a91AF4ad57aD964a8fCc6c6351d3,Fresh Wallet,1.001046,2026-09-13T08:31:10.000Z,0.0505,0.08373,0.250998,0,3,fddc52e6a989781f3237260e3d490c071594d2b9e1a5554ec3bc121290ef3570,434d13e2,,,CEREBRO,100,team astro
0x0E3c3420dA3EF7Ee6aAD373dd2cdD968f57A0788,SOUP,Souperintelligence,,0xf3f573742a54ebf4aD7f274c5f2E8C24bDeeE33f,0x825849b5a90f640279eE31BfA94F213BC386a932,Fresh Wallet,1.035846672987542453,2026-09-13T06:16:01.000Z,0.72125,0.184438,0.267972,0.1,500,2c68143f53e825422f31720a627bd5156cac083ac5fede8a83875491cb7f9726,434d13e2,,,HABITS,100,team astro
0xD9E82b01fbD8EB7A59D456fEf3B56D39d90caa47,Grok,Grok coin,,0x26A387601ab2a4C7eF85a1e217431118F8a2783A,0x32240A2aB2300Da67517CAC052c1599CD9c801b5,Fresh Wallet,1.075333691036845605,2026-09-13T03:58:43.000Z,0,0.089636,0.181536,0,1,a3fcce81ca12de34d2968c48ffd3fb71e83788e59c5ff049fe2a13944f597596,ca20cf82,,,website,84,team gigalon
0x6b09c294eCC9fbE3285f0421EB76eBB6222adE64,Maple,Maple,,0x4797c3694C1e19ED8921eD7E2ae89F214b61bBAe,0x7ec61fEBf81237F1C4BDb085788297Aa9f92BfE6,Fresh Wallet,0.000001477688068241,2026-09-12T18:54:15.000Z,0.5,0.096561793,0.11562518,0.003503793,0,4ee095ba8f2a02a555f43c8594ad6893b4cc526afb6a855c63034efb77091e2a,ee8ec640,,,POLI,35,
0x0a8978Af87407f8B49ED91205f62DC9851cD73a2,WYND,Wynd Kaufmyn,,0xea267a4CC7EB0896A9Db8df971CA5714ee5d8939,0x59f21a6291Eb07d94BDedf19d6f5437B67b6e09f,Fresh Wallet,1.654126469486271608,2026-09-12T18:19:56.000Z,0.7005,0.098014,0.194484,0,0,2e3665089f0c8afdb3872e76b5254a7073b23aadb50faab6ea81ad40e196c929,434d13e2,,,DARIOO,99,team astro
0x22d047da13997E384Abc2F390Bc9495D7Ac54b7d,DARIOO,Be Like Dario,,0xE2733b15b2A05fca6B10EE122dDaC34cEbeB79f9,0xDBa55913136072f69f56e3336CbCc19410C12b48,Fresh Wallet,1.284967638289862904,2026-09-12T15:53:19.000Z,0.5005,0.098014,0.19344,0,0,559aca96fdafad372e09165817ce24712c2fa41e698de5553a63a967b7337536,434d13e2,,,WYND,99,team astro
0xa9b7966D16e4CA1D0A98e29fEb17cf9F6afFE8b7,DEGENFLY,Degenfly,,0xBA63CFa915627e8e357D2B86D2318b6775C00A83,0x26172c514Ea0B75A41BBb1E4f43BDF96FbC38A21,Fresh Wallet,1.954937687158505872,2026-09-12T14:50:07.000Z,0,0.116012,0.227788,0,0,a3fcce81ca12de34d2968c48ffd3fb71e83788e59c5ff049fe2a13944f597596,ca20cf82,,,gigalon,82,team gigalon
0x154B59D5edA4Ad58e947B85A4726dD016bBd2aE4,BUZZ,The buzz,,0x8948308111cfb2efa9ACd165215C7866fcF85e3D,0x85EA6C1D4B27E50314717a868eC440b71311E1C6,Fresh Wallet,1.522197908576216087,2026-09-12T14:36:37.000Z,0.5005,0.312314,0.618616,0,0,2a03288df11fcef40ce140d9930b4bcd5d7517f1126ff5ae5b9ee5d4d59d5f09,434d13e2,,,WYND,97,team astro
0xd7Bd847e838aBe9544B6414FA6EFCB0748a58532,ROYALE,Stock Royale,,0xf236E43e27383665DF6A07A5Bcf4a5147a0509c8,0xd1d9E9e2871Bf871d62e1b5Ae77d7d76Ab5FfaA2,,0.000010697528335795,2026-09-12T06:34:09.000Z,0.009180936817764918,0.099654,0.198164,0,0,7bde25f155c55ba057e305c5a5945a4f42ec19dfd4d4b510ebb4ddab579756c4,434d13e2,,,WYND,99,team astro
0x85BD531bA0787D14fF20aa5a3d49E0E44Ac9650C,HABITS,Habits,,0xcBB0820B4A0017Aa99eCB7B371015372b4025b26,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,Fresh Wallet,1.997672965362830033,2026-09-11T21:30:59.000Z,0.0205,1.26789401,2.13807925,0.00000001,9,aa3d9aca06378ee28e9655bd4d2f6ce39d5bb6ef26028e98351a0f2890896ac4,434d13e2,,,SOUP,100,team astro
0x4fFCE3A117e17076C072Fb95E447b2361f69763B,SAFEMOON,SAFEMOON,,0x4f3e722A6E74795ece9f3877e71B33589a2aEb5F,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,Fresh Wallet,1.019752542185147527,2026-09-11T15:27:40.000Z,0,0.109474,0.327066,0,5,e4bf61ff3f4cc405282d7d4e9432a7694953dd6080913038f52a5a798758d9ee,434d13e2,,,SOUP,100,team astro
0x7ff07f5437Eb22750617182f1AE91e050a45aF3C,NEXO,Nexora,,0x334A0E77228e7b5688daf511398b91B4FC93c78F,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,Fresh Wallet,1.096736512576656175,2026-09-11T10:44:50.000Z,0,0.111736,0.331236,0,0,5f6be2b00ed75f7fe8449c8b8c9bdc9fbbfd31321b89cab54e175daafd1af9a3,e6391060,,,PENNY,48,
0x73Fd518b4998Df42FBa3AE740865F374522baE2a,NCHIP,CHIP-NEURON,,0xa024cbA91ffC65C01880C1b553A63203EF0819e6,0x8Ba0eF7431e7ed6b82F8fD0D18a2A5632cF0aa01,Fresh Wallet,1.6000633896496,2026-09-11T07:50:57.000Z,1.5,0.116174,0.1392144,0,3,af3018e4b3566422eff5e45350e31cde0e30281259c341e89ecfa511b1b8836e,c1d28584,,,$SPY,100,team NCHIP
0x197de420B5a5Ce9420d25893835CA585d207FbC6,OPEC,OPEC,,0x7E97799d466322E7E7Ac35Ec7415D2901F6a6400,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,Fresh Wallet,1.48177589660698094,2026-09-10T19:48:26.000Z,0,0.132740001,0.258620001,0.000000001,0,0f3c2e497217537edde331834c53bfd19779c4db70a0f934e557f8b3525b4dd0,25cf9b6e,,,NYXPAY,48,
0x0c68aB86F630ACe540205b3fDDbe4b96058fA888,$SPY,S&P 500,,0xd81cca29c3500dB607eC87B71C8B368615b0b0b6,0x326af1F73828EACC9b60d285aa5e092fAA750518,Fresh Wallet,1.050077804401404,2026-09-10T15:11:16.000Z,1,0.192464,0.2277768,0,1,ee1560ed56612b043af58b974f51d3753b076f9a9d37738df6247f793cf72361,c1d28584,,,NCHIP,100,team NCHIP
0xCF32b9c1104C14e05a5B17a78618cbD70Bf42091,INLEX,Inlex Ai,,0x404CCceD80F57ff6f7CA74038B01AFe72B10db16,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,Fresh Wallet,11.044992441658300927,2026-09-10T08:47:25.000Z,11.002622705746944644,0.130342,0.1485294,0,1,4f7e649f156d10a59422da7e583135b93cc0d36069903a357624e7b2ff90d062,434d13e2,,,SOUP,100,team astro
0xCDE24D930DeDeddd6AB6faDF10adC416A1A0072A,ORBIT,Orbit Finance,,0xA9bFF5dA15F9A6d10D5D0326217F727D7418Fbf6,,,,,0.009158678005411674,0.165376,0.328532,0,0,480b84d2b8f4daa65274c44746d77f9c2c46a875567502fb96317801c9e3e88c,434d13e2,,,WYND,92,team astro
