candidate_score,confidence,inferred_team,chain_id,chain,symbol,ca,best_match_symbol,best_match_ca,best_match_chain_id,best_match_chain,evidence
93.54,HIGH_LEAD,team astro,4663,RBH,CATCH,0xE9E5CfdCA8fbEe1f68A7C92D7316331d1aaB5Fb9,PANTHER,0x97BafF797Fc44F3deBb50eb62e0E1175ca360000,4663,RBH,"[{""anchor_value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef""}, {""anchor_value"": ""0.2942"", ""contribution"": 0.2171, ""feature"": ""gwei"", ""proximity"": 0.96, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.2961 (ref: 0.2942)""}, {""anchor_value"": ""1.0733"", ""contribution"": 0.2077, ""feature"": ""fund_amount"", ""proximity"": 0.81, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""1.0433 (ref: 1.0733)""}, {""anchor_value"": ""0.5940"", ""contribution"": 0.1799, ""feature"": ""max_gwei"", ""proximity"": 0.39, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.6536 (ref: 0.5940)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
93.18,HIGH_LEAD,team astro,4663,RBH,Jacob,0x3df3644BCF4cE0d993E18C86c3080e53bFea06F1,GME,0x232eCBdb38040c93EEBf497121e1241067e937bF,4663,RBH,"[{""anchor_value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef""}, {""anchor_value"": ""0.0005"", ""contribution"": 0.22, ""feature"": ""value_eth"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.0005 (ref: 0.0005)""}, {""anchor_value"": ""0.2469"", ""contribution"": 0.1824, ""feature"": ""gwei"", ""proximity"": 0.43, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.2258 (ref: 0.2469)""}, {""anchor_value"": ""1.9807"", ""contribution"": 0.1578, ""feature"": ""fund_amount"", ""proximity"": 0.06, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""2.3065 (ref: 1.9807)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
93.07,HIGH_LEAD,team astro,4663,RBH,LUCKY,0x1a7EAEc7d9E7e5123416b7B29ae8bC9B57c00922,BYCOCKET,0x173727CDe55cF8FE46fd2D9EF4a19D7188A14d3b,4663,RBH,"[{""anchor_value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3""}, {""anchor_value"": ""0.0005"", ""contribution"": 0.22, ""feature"": ""value_eth"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.0005 (ref: 0.0005)""}, {""anchor_value"": ""0.6124"", ""contribution"": 0.1936, ""feature"": ""max_gwei"", ""proximity"": 0.6, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.5756 (ref: 0.6124)""}, {""anchor_value"": ""3"", ""contribution"": 0.132, ""feature"": ""nonce"", ""proximity"": 0.6, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""2""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
92.28,HIGH_LEAD,team astro,4663,RBH,XL,0x1cDb289BeFDFaC8aF945a288BCdcCc382cB34d32,CEREBRO,0xEb24a2663af4Ee979dCbfE39cB95B5F12D369c4B,4663,RBH,"[{""anchor_value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3""}, {""anchor_value"": ""0.0005"", ""contribution"": 0.22, ""feature"": ""value_eth"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.0005 (ref: 0.0005)""}, {""anchor_value"": ""1"", ""contribution"": 0.22, ""feature"": ""nonce"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""1""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
92.22,HIGH_LEAD,team astro,4663,RBH,WORM,0x3bA500F1AbabbCF0F0247D06D1c56Fd7E6C4c09D,CEREBRO,0xEb24a2663af4Ee979dCbfE39cB95B5F12D369c4B,4663,RBH,"[{""anchor_value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3""}, {""anchor_value"": ""0.0005"", ""contribution"": 0.22, ""feature"": ""value_eth"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.0005 (ref: 0.0005)""}, {""anchor_value"": ""0.2381"", ""contribution"": 0.2146, ""feature"": ""gwei"", ""proximity"": 0.92, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.2352 (ref: 0.2381)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
92.21,HIGH_LEAD,team astro,4663,RBH,HYPURPS,0xCFB0D53FBde4510508aD43cBf892407188C93E54,ROBBY,0xF28f00d39C6aa5fF851978a70B6dD7340891FD5f,4663,RBH,"[{""anchor_value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef""}, {""anchor_value"": ""0.5129"", ""contribution"": 0.2199, ""feature"": ""max_gwei"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.5127 (ref: 0.5129)""}, {""anchor_value"": ""0.3039"", ""contribution"": 0.2137, ""feature"": ""gwei"", ""proximity"": 0.9, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.3083 (ref: 0.3039)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
91.4,HIGH_LEAD,team astro,4663,RBH,XCOINS,0xFB7710Bc08fE297d648b2617B8c1e25129D1a2F5,GME,0x232eCBdb38040c93EEBf497121e1241067e937bF,4663,RBH,"[{""anchor_value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef""}, {""anchor_value"": ""0.2469"", ""contribution"": 0.1917, ""feature"": ""gwei"", ""proximity"": 0.57, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.2310 (ref: 0.2469)""}, {""anchor_value"": ""0.4199"", ""contribution"": 0.1619, ""feature"": ""max_gwei"", ""proximity"": 0.12, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.3645 (ref: 0.4199)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
90.1,HIGH_LEAD,team astro,4663,RBH,HIPPO,0x2376ceCA251151C392C11C3C032ee3c76C0d8f84,CEREBRO,0xEb24a2663af4Ee979dCbfE39cB95B5F12D369c4B,4663,RBH,"[{""anchor_value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0x88d25c861938a91af4ad57ad964a8fcc6c6351d3""}, {""anchor_value"": ""0.0005"", ""contribution"": 0.22, ""feature"": ""value_eth"", ""proximity"": 1.0, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.0005 (ref: 0.0005)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
89.95,HIGH_LEAD,team astro,4663,RBH,XCASH,0x563Ee01B6ca20D0547924eC27e9b5615Aaf171C9,SAFEMOON,0x4fFCE3A117e17076C072Fb95E447b2361f69763B,4663,RBH,"[{""anchor_value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef""}, {""anchor_value"": ""1.0198"", ""contribution"": 0.2081, ""feature"": ""fund_amount"", ""proximity"": 0.82, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.9921 (ref: 1.0198)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
89.62,HIGH_LEAD,team astro,4663,RBH,JOLLYBOT,0x05c1147A62e46cfe501Cc2Ecfe919B1CbdaaCC07,CLAWNCH,0x6a50F139F3eD4C9c7bDa0D067c5Ed09De1EEBbeA,4663,RBH,"[{""anchor_value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef"", ""contribution"": 0.85, ""feature"": ""funder_1hop"", ""proximity"": 1.0, ""reliability"": 0.85, ""type"": ""categorical"", ""value"": ""0xf70da97812cb96acdf810712aa562db8dfa3dbef""}, {""anchor_value"": ""0.1728"", ""contribution"": 0.1825, ""feature"": ""gwei"", ""proximity"": 0.43, ""reliability"": 0.22, ""type"": ""numeric"", ""value"": ""0.1580 (ref: 0.1728)""}, {""anchor_value"": ""434d13e2"", ""contribution"": 0.08, ""feature"": ""method_selector"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""434d13e2""}, {""anchor_value"": ""pons"", ""contribution"": 0.08, ""feature"": ""launchpad"", ""proximity"": 1.0, ""reliability"": 0.08, ""type"": ""categorical"", ""value"": ""pons""}]"
