feature,value,qualified_token_count,global_token_count,unqualified_token_count,global_prevalence_pct,qualified_precision_pct,leading_team,team_purity_pct,fingerprint_strength,symbols,tokens
funder_1hop,0x4e58c1183b91df3708fb5861ff3531dc128e6e11,5,5,0,1.99,100.0,team robinary,100.0,93.52,ROBINARY|HTANK|HOODOWS|EXR|HOODGLE,0x41bF9BfA1BB13758BdeF159486c218bcAbF2B79c|0x0cC4cec6a0350F5168320F0e4871A2C0B153A9D9|0x5A2EF5CeF74A8A6CCc0e1Ca76a570Ba98e7e5E57|0x1F27fe7B9708fAc9b8Df0e8816D6FD3a0dbC0ad5|0xB2E9E3701Ad29F75cBd5F81e90866E029Fd01776
template_hash,418a367a5fe8bcba93244ad9c916ad01bb215db93166980204e0b46ac1b9356d,5,5,0,1.99,100.0,team robinary,100.0,93.52,ROBINARY|HTANK|HOODOWS|EXR|HOODGLE,0x41bF9BfA1BB13758BdeF159486c218bcAbF2B79c|0x0cC4cec6a0350F5168320F0e4871A2C0B153A9D9|0x5A2EF5CeF74A8A6CCc0e1Ca76a570Ba98e7e5E57|0x1F27fe7B9708fAc9b8Df0e8816D6FD3a0dbC0ad5|0xB2E9E3701Ad29F75cBd5F81e90866E029Fd01776
fund_amount,4663:1.9994,4,4,0,1.59,100.0,team robinary,100.0,91.18,ROBINARY|HTANK|HOODOWS|EXR,0x41bF9BfA1BB13758BdeF159486c218bcAbF2B79c|0x0cC4cec6a0350F5168320F0e4871A2C0B153A9D9|0x5A2EF5CeF74A8A6CCc0e1Ca76a570Ba98e7e5E57|0x1F27fe7B9708fAc9b8Df0e8816D6FD3a0dbC0ad5
funder_1hop,0x8ba0ef7431e7ed6b82f8fd0d18a2a5632cf0aa01,3,3,0,1.2,100.0,team nchip,100.0,88.99,NCHIP|4WALL|WHITEHAT,0x73Fd518b4998Df42FBa3AE740865F374522baE2a|0x8DfbFd3021E8b9c390a99C39747Ea4D295187BA0|0x96abd983C8EA716cE22c96d23c2B47e7d43f50Cd
method_selector,815842cf,3,3,0,1.2,100.0,team intel,100.0,88.99,INTEL|CPRINT|CRIF,0xE331eEdb3Bc25830e61b0b4835eB110cFb6288C8|0xaB86eaD8ee235fdeF69f80b753352862ed24c81c|0xdFEFF46129b666A6Fbf76e6ACE3b6218cd23f183
template_hash,a78b5f805b8a06dd7770e6d6a4d338563e17b2218f84fa6c3d98c1a640e6ae6b,3,3,0,1.2,100.0,team intel,100.0,88.99,INTEL|CPRINT|CRIF,0xE331eEdb3Bc25830e61b0b4835eB110cFb6288C8|0xaB86eaD8ee235fdeF69f80b753352862ed24c81c|0xdFEFF46129b666A6Fbf76e6ACE3b6218cd23f183
dev_wallet,0xdeaa8c051053074b61f5d09b6543feabdf3f605a,2,2,0,0.8,100.0,team astro,100.0,87.03,HODL|astro,0xD6127f456f7432A0890155522AC272B6eE78bBbb|0xdE1a4B8927769f8b6Ed07e5d5F49E7f649EbCbbd
fund_amount,4663:1.0501,2,2,0,0.8,100.0,team nchip,100.0,87.03,$SPY|4WALL,0x0c68aB86F630ACe540205b3fDDbe4b96058fA888|0x8DfbFd3021E8b9c390a99C39747Ea4D295187BA0
fund_amount,4663:1.9998,2,2,0,0.8,100.0,team astro,100.0,87.03,HODL|astro,0xD6127f456f7432A0890155522AC272B6eE78bBbb|0xdE1a4B8927769f8b6Ed07e5d5F49E7f649EbCbbd
funder_1hop,0xfd3cc7c8a2f26c13a9862f89a57833d63c9f10ff,2,2,0,0.8,100.0,team astro,100.0,87.03,HODL|astro,0xD6127f456f7432A0890155522AC272B6eE78bBbb|0xdE1a4B8927769f8b6Ed07e5d5F49E7f649EbCbbd
